,Zeitstempel,Gender,Age,Education (highest degree),Place of residence,Do you like pineapple on pizza?,Do you like Kaiserschmarrn better with raisins or without?,"When making toast with chocolate spread (e.g., Nutella), do you also use butter? ","How many times per month do you make online purchases? (included: physical & digital products, excluded: subscriptions like Spotify, Netflix, …)  ","When you shop, are you more likely to purchase items you've researched and intended to buy, or items you see and decide to buy on the spot?  ",How comfortable are you with personalized advertising?  ,What do you use more often: On-demand streaming or regular television (fixed program)?,Do you prefer movies or series/tv-shows?,How often do you watch movies or shows?,Do you think commercial space travel to mars will be realistic in the future?,Do you think the idea of space tourism is environmentally sustainable?,Do you support the idea to use public money to support commercial space travel?,Do you use any chatbot like ChatGPT or Copilot?  ,For which tasks do you use chatbots? ,In which context do you use chatbots?,How often do you use chatbots?,How useful are the answers to you?,Do you currently own a Klimaticket?,How would you describe the public transport availability in your hometown?,How often do you use public transport?,Did you have any of these allergy prone pets in your childhood (age < 16)?,Are you allergic to any of those pets?,Do you own any of those pets or do you plan on having any of them?,"Have you ever heard of cryptocurrencies (e.g., Bitcoin or Ethereum)?",Have you ever owned any cryptocurrency?,How would you describe your technical understanding of cryptocurrencies?,Have you ever sold any cryptocurrency?;;;;;;;;;
38,2025/03/27 5:05:22 PM OEZ,Female,20-29,Some college or university,Vienna,Yes,Without raisins,"No, never",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Somewhat uncomfortable,On-demand Streaming,Series/TV-shows,Often,Yes,No,Yes,Yes,Creative tasks;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring)",Several times a month,Moderately,No,"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,No,1,;;;;;;;
39,2025/03/27 5:19:17 PM OEZ,Female,20-29,Bachelor's degree,Others (Not in Austria),No,Without raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Daily,Yes,No,Yes,Yes,Explanation;Teaching;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,2,;;;;
40,2025/03/29 10:14:35 AM OEZ,Male,20-29,Bachelor's degree,Upper Austria,No,Without raisins,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,Yes,No,No,Yes,Explanation;Programming;Creative tasks,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Very,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,3,;;;;
41,2025/04/01 10:01:03 AM OEZ,Female,50-59,Associate degree,Lower Austria,Yes,Without raisins,"Yes, always",Multiple times a month,Almost always items I've researched and intended to buy,Neutral,Regular television (fixed program),Movies,Often,No,No,No,Yes,Explanation;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Health and wellness (e.g., symptom checking, mental health support)",Several times a month,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,Yes,3,Yes;;;;;;;
42,2025/04/01 11:33:25 AM OEZ,Female,20-29,Bachelor's degree,Vienna,No,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Often,Yes,No,No,Yes,Teaching,"Work or business (e.g., customer support, automation, data analysis)",Rarely,Very,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,3,;;;;;;;;;
43,2025/04/01 4:33:34 PM OEZ,Male,20-29,Some college or university,Upper Austria,No,With raisins,Sometimes,Weekly,Mostly items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,Series/TV-shows,Sometimes,No,No,No,Yes,Programming,"Technical support (e.g., troubleshooting, coding help)",Several times a month,Very,Yes (state-specific),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,Cat,"No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,3,;;;;;;;;;
44,2025/04/01 4:35:41 PM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,Without raisins,"No, never",Multiple times a week,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Sometimes,Yes,No,No,Yes,Explanation;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Moderately,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Never,Cat,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,Yes,4,Yes;;;
45,2025/04/01 4:37:21 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,No,With raisins,"Yes, always",Never,Almost always items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,No preference,Often,Yes,Yes,Yes,Yes,Explanation;Teaching;Programming,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Moderately,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,1,;;;;;
46,2025/04/01 4:37:27 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,No,No preference,"No, never",Never,About equally items I've researched and intended to buy and items I buy on the spot,Neutral,On-demand Streaming,Series/TV-shows,Daily,No,No,Yes,Yes,Explanation;Teaching;Programming;Writing,"Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Moderately,No,Very poor - Little or no public transport available.,Rarely (only a few times a year),Dog,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,No,1,;;;;;
47,2025/04/01 4:39:49 PM OEZ,Female,30-39,Bachelor's degree,Upper Austria,Yes,Without raisins,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Neutral,Regular television (fixed program),Series/TV-shows,Daily,Yes,No,No,Yes,Explanation;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Education and learning (e.g., research, studying, tutoring)",Several times a week,Very,No,Good - The connection is usually reliable and well-developed for everyday use.,Rarely (only a few times a year),"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,4,;;;;;;
48,2025/04/01 4:40:58 PM OEZ,Female,20-29,Bachelor's degree,Upper Austria,Yes,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Daily,Yes,No,No,Yes,Explanation;Teaching;Programming;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Extremely,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Several times a month,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,1,;;;;
49,2025/04/01 4:41:28 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,No,With raisins,"Yes, always",Daily,Mostly items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,No preference,Daily,Yes,No,No,Yes,Explanation;Teaching;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Moderately,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,1,;;;;
50,2025/04/01 4:42:39 PM OEZ,Female,30-39,Master's degree,Upper Austria,Yes,No preference,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Explanation;Teaching;Programming,"Education and learning (e.g., research, studying, tutoring)",Several times a week,Extremely,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Daily,I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,2,;;;;;;;
51,2025/04/01 4:52:27 PM OEZ,Female,20-29,Bachelor's degree,Upper Austria,Yes,With raisins,"Yes, always",Multiple times a month,Mostly items I see and decide to buy on the spot,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Explanation;Teaching;Programming,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help);Health and wellness (e.g., symptom checking, mental health support)",Several times a week,Very,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Several times a month,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,2,;;;
52,2025/04/01 5:02:48 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,Yes,Without raisins,"No, never",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Somewhat uncomfortable,On-demand Streaming,Series/TV-shows,Daily,No,No,No,Yes,Explanation;Teaching;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help);Health and wellness (e.g., symptom checking, mental health support)",Daily,Very,Yes (state-specific),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,"No, I never had one of these allergy prone pets",Cat,I have/plan to have a (or more) cat(s),Yes,No,1,;
53,2025/04/01 5:14:15 PM OEZ,Male,30-39,Some college or university,Upper Austria,No,With raisins,"No, never",Multiple times a week,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,Movies,Daily,No,Yes,Yes,Yes,Explanation,"Personal use (e.g., casual conversations, entertainment, recommendations);Technical support (e.g., troubleshooting, coding help);Health and wellness (e.g., symptom checking, mental health support)",Several times a month,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),Cat,Cat,I have/plan to have a (or more) dog(s),Yes,Yes,2,Yes;;;;;;;
54,2025/04/01 5:26:48 PM OEZ,Female,20-29,High school diploma or equivalent,Lower Austria,No,Without raisins,"No, never",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Neutral,On-demand Streaming,Series/TV-shows,Often,Yes,No,No,Yes,Explanation;Programming;Writing,"Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Not at all,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,1,;;;;;;
55,2025/04/01 5:39:22 PM OEZ,Female,20-29,High school diploma or equivalent,Lower Austria,No,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Explanation;Programming;Creative tasks;Writing,"Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help);Health and wellness (e.g., symptom checking, mental health support)",Several times a week,Very,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a month,I had more than one of the above mentioned allergy prone pets in my childhood,Cat,I have/plan to have a (or more) cat(s),Yes,No,2,;;;;
56,2025/04/01 5:39:34 PM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,Series/TV-shows,Often,Yes,No,No,Yes,Programming;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring)",Several times a week,Very,Yes (Austria-wide),Very poor - Little or no public transport available.,Several times a month,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,Yes,4,Yes;;;;;;;
57,2025/04/01 6:33:02 PM OEZ,Male,20-29,Bachelor's degree,Lower Austria,Yes,Without raisins,"No, never",Never,Mostly items I see and decide to buy on the spot,Very uncomfortable,On-demand Streaming,Series/TV-shows,Daily,No,No,No,Yes,Explanation;Teaching;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Very,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Daily,"Small mammal (e.g., guinea pig, hamster, rabbit, ferret)","No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,Yes,3,Yes;;;
58,2025/04/01 6:48:49 PM OEZ,Female,20-29,Bachelor's degree,Salzburg,No,Without raisins,"No, never",Never,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Rarely,No,No,No,Yes,Explanation;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Education and learning (e.g., research, studying, tutoring)",Daily,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Never,I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,4,;;;;;;
59,2025/04/01 6:54:11 PM OEZ,Non-binary,20-29,High school diploma or equivalent,Burgenland,No,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,No,No,No,Yes,Explanation;Teaching,"Education and learning (e.g., research, studying, tutoring)",Several times a month,Very,Yes (Austria-wide),Poor - The connection is unreliable or severely limited.,Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,3,;;;;;;;;
60,2025/04/01 7:04:58 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,Yes,No preference,Sometimes,Multiple times a month,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Daily,Yes,Yes,Yes,Yes,Explanation;Teaching;Programming;Creative tasks;Fitness,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Health and wellness (e.g., symptom checking, mental health support)",Several times a week,Moderately,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Never,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,No,2,;;
61,2025/04/01 7:26:35 PM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,With raisins,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,No preference,Often,Yes,No,No,Yes,Explanation;Teaching;Programming;Creative tasks;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Moderately,No,Very poor - Little or no public transport available.,Never,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,No,4,;;;
62,2025/04/01 7:49:48 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,Yes,No preference,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Explanation;Teaching;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Very,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Daily,I had more than one of the above mentioned allergy prone pets in my childhood,Cat,"No, I do not have or plan on having any of those pets",Yes,No,2,;;
63,2025/04/01 8:08:57 PM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Daily,Yes,No,Yes,Yes,Explanation;Teaching;Programming,"Personal use (e.g., casual conversations, entertainment, recommendations);Education and learning (e.g., research, studying, tutoring)",Daily,Very,No,Good - The connection is usually reliable and well-developed for everyday use.,Several times a month,Dog,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,Yes,4,Yes;;;;;;
64,2025/04/01 8:41:34 PM OEZ,Female,20-29,Some college or university,Upper Austria,Yes,With raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Daily,Yes,No,No,Yes,Explanation;Programming;Creative tasks;Writing;basically everything ,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Shopping and e-commerce (e.g., product recommendations, order tracking);Technical support (e.g., troubleshooting, coding help)",Daily,Very,No,Good - The connection is usually reliable and well-developed for everyday use.,Several times a month,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,2,;
65,2025/04/01 9:01:09 PM OEZ,Female,10-19,High school diploma or equivalent,Upper Austria,No,With raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,No,No,No,Yes,Explanation;Programming;Writing,"Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,1,;;;;;;
66,2025/04/01 9:17:43 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,Yes,No preference,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,Yes,No,No,Yes,Explanation;Teaching;Programming,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (state-specific),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,2,;;;;;
67,2025/04/01 11:03:06 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,No,Without raisins,"Yes, always",Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,Movies,Daily,No,No,No,Yes,Explanation;Teaching;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,2,;;;
68,2025/04/02 12:40:52 AM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,With raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Series/TV-shows,Daily,Yes,No,No,Yes,Explanation;Teaching;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Education and learning (e.g., research, studying, tutoring);Shopping and e-commerce (e.g., product recommendations, order tracking);Technical support (e.g., troubleshooting, coding help)",Daily,Very,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Rarely (only a few times a year),Cat,Cat,I have/plan to have a (or more) cat(s),Yes,No,3,;;
69,2025/04/02 6:29:20 AM OEZ,Female,20-29,Bachelor's degree,Upper Austria,Yes,Without raisins,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,Movies,Often,No,No,No,Yes,Explanation;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (state-specific),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,No,1,;;;;
70,2025/04/02 7:42:30 AM OEZ,Male,20-29,Bachelor's degree,Upper Austria,Yes,With raisins,"Yes, always",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Very uncomfortable,On-demand Streaming,No preference,Rarely,Yes,Yes,Yes,Yes,Programming,"Work or business (e.g., customer support, automation, data analysis);Technical support (e.g., troubleshooting, coding help)",Daily,Moderately,Yes (state-specific),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,Cat,"No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,Yes,4,Yes;;;;;;;;
71,2025/04/02 8:04:49 AM OEZ,Female,20-29,Bachelor's degree,Upper Austria,No,Without raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Often,Yes,No,No,Yes,Explanation;Programming;Creative tasks;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Shopping and e-commerce (e.g., product recommendations, order tracking);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (state-specific),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,No,2,;;;
72,2025/04/02 8:50:36 AM OEZ,Male,30-39,High school diploma or equivalent,Upper Austria,No,Without raisins,Sometimes,Multiple times a month,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,Yes,No,No,Yes,Explanation;Programming;Writing;web search,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Moderately,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,Yes,3,No;;;
73,2025/04/02 10:05:38 AM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,No preference,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,No preference,Rarely,No,No,No,Yes,Explanation;Teaching;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Shopping and e-commerce (e.g., product recommendations, order tracking);Technical support (e.g., troubleshooting, coding help);Health and wellness (e.g., symptom checking, mental health support)",Daily,Extremely,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",No,,,
